skaterFullName,ppPoints,teamAbbrevs,gamesPlayed,shoots,position,ppUnit,vs,avgPowerplayToi,row,date,team_PEN/GP,team_PP%,team_PK%,team_G,team_GA,enemy_PEN/GP,enemy_PP%,enemy_PK%,enemy_G,enemy_GA,scored
Jake DeBrusk,0,BOS,9,L,L,2.0,DET,1:39,0,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,0
Hampus Lindholm,0,BOS,10,L,D,1.0,DET,1:58,1,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,1
Brad Marchand,3,BOS,10,L,L,2.0,DET,3:38,2,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,0
David Pastrnak,4,BOS,10,R,R,1.0,DET,3:46,3,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,1
Matthew Poitras,0,BOS,10,R,C,2.0,DET,1:07,4,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,1
James van Riemsdyk,3,BOS,10,L,L,,DET,2:48,5,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,0
Pavel Zacha,1,BOS,10,L,C,1.0,DET,3:00,6,2023-11-04,4.5,15.6,97.4,31.0,16.0,4.73,28.6,83.3,40.0,33.0,0
Alex DeBrincat,5,DET,11,R,R,1.0,BOS,4:07,7,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,0
Shayne Gostisbehere,6,DET,11,L,D,1.0,BOS,4:14,8,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,0
Dylan Larkin,10,DET,11,L,C,1.0,BOS,4:09,9,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,1
David Perron,3,DET,11,R,L,1.0,BOS,4:07,10,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,1
Lucas Raymond,1,DET,11,R,L,1.0,BOS,1:57,11,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,1
Moritz Seider,5,DET,11,R,D,2.0,BOS,4:12,12,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,1
Daniel Sprong,0,DET,11,R,R,2.0,BOS,1:59,13,2023-11-04,4.73,28.6,83.3,40.0,33.0,4.5,15.6,97.4,31.0,16.0,1
Dylan Cozens,2,BUF,11,R,C,1.0,TOR,1:50,14,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,0
Rasmus Dahlin,3,BUF,11,L,D,1.0,TOR,2:32,15,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,0
Casey Mittelstadt,0,BUF,11,L,C,2.0,TOR,1:38,16,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,0
JJ Peterka,0,BUF,11,L,R,2.0,TOR,1:38,17,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,1
Jeff Skinner,1,BUF,11,L,L,1.0,TOR,2:24,18,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,0
Tage Thompson,2,BUF,11,R,C,1.0,TOR,2:25,19,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,0
Alex Tuch,1,BUF,11,R,R,1.0,TOR,2:07,20,2023-11-04,4.91,9.4,90.5,33.0,34.0,3.9,29.4,75.8,31.0,30.0,0
Tyler Bertuzzi,2,TOR,10,L,L,2.0,BUF,1:41,21,2023-11-04,3.9,29.4,75.8,31.0,30.0,4.91,9.4,90.5,33.0,34.0,0
Max Domi,1,TOR,10,L,C,2.0,BUF,1:30,22,2023-11-04,3.9,29.4,75.8,31.0,30.0,4.91,9.4,90.5,33.0,34.0,0
Calle Jarnkrok,1,TOR,10,R,C,2.0,BUF,1:22,23,2023-11-04,3.9,29.4,75.8,31.0,30.0,4.91,9.4,90.5,33.0,34.0,0
