faceoffWinPct,gameDate,gameId,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,homeRoad,losses,opponentTeamAbbrev,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,powerPlayGoalsFor,ppGoalsPerGame,ppNetGoals,ppNetGoalsPerGame,ppOpportunities,ppOpportunitiesPerGame,ppTimeOnIcePerGame,shGoalsAgainst,shGoalsAgainstPerGame,benchMinorPenalties,gameMisconducts,majors,matchPenalties,minors,misconducts,netPenalties,netPenaltiesPer60,penalties,penaltiesDrawnPer60,penaltiesTakenPer60,penaltyMinutes,penaltySecondsPerGame,totalPenaltiesDrawn,pkNetGoals,pkNetGoalsPerGame,pkTimeOnIcePerGame,pointsPct,ppGoalsAgainst,ppGoalsAgainstPerGame,shGoalsFor,shGoalsForPerGame,timesShorthanded,timesShorthandedPerGame
0.677966,2023-10-10,2023020002,1,4,4.0,2,2.0,H,1,CHI,0,1.0,1.0,0.0,0,0.0,0.0,0,36.0,41.0,Pittsburgh Penguins,5,,0,0,0,0,0.0,0,0.0,2,2.0,240.0,0,0.0,0,0,0,0,4,0,-2,-2.0,4,2.0,4.0,8,480,2,0,0.0,480.0,0.0,0,0.0,0,0.0,4,4.0
0.322033,2023-10-10,2023020002,1,2,2.0,4,4.0,R,0,PIT,0,1.0,1.0,1.0,2,0.0,0.0,1,41.0,36.0,Chicago Blackhawks,16,,1,1,0,0,0.0,0,0.0,4,4.0,480.0,0,0.0,1,0,0,0,1,0,2,2.0,2,4.0,2.0,4,240,4,0,0.0,240.0,1.0,0,0.0,0,0.0,2,2.0
0.591836,2023-10-10,2023020003,1,1,1.0,4,4.0,H,0,SEA,0,1.0,1.0,1.0,2,0.0,0.0,1,33.0,28.0,Vegas Golden Knights,54,,1,1,0,0,0.0,0,0.0,4,4.0,480.0,0,0.0,0,0,0,1,3,0,0,0.0,4,4.0,4.0,21,1260,4,0,0.0,660.0,1.0,0,0.0,0,0.0,4,4.0
0.408163,2023-10-10,2023020003,1,4,4.0,1,1.0,R,1,VGK,0,1.0,1.0,0.0,0,0.0,0.0,0,28.0,33.0,Seattle Kraken,55,,0,0,0,0,0.0,0,0.0,4,4.0,660.0,0,0.0,0,0,0,0,4,0,0,0.0,4,4.0,4.0,8,480,4,0,0.0,480.0,0.0,0,0.0,0,0.0,4,4.0
0.566666,2023-10-10,2023020001,1,3,3.0,5,5.0,H,0,NSH,0,0.75,0.75,1.0,2,0.4,0.4,1,31.0,34.0,Tampa Bay Lightning,14,,1,1,0,2,2.0,2,2.0,5,5.0,496.0,0,0.0,0,0,0,0,4,0,2,2.0,4,6.0,4.0,8,480,6,-1,-1.0,462.0,1.0,1,1.0,0,0.0,4,4.0
0.433333,2023-10-10,2023020001,1,5,5.0,3,3.0,R,1,TBL,0,0.6,0.6,0.0,0,0.25,0.25,0,34.0,31.0,Nashville Predators,18,,0,0,0,1,1.0,1,1.0,4,4.0,462.0,0,0.0,0,0,0,0,5,0,-1,-1.0,5,4.0,5.0,10,600,4,-2,-2.0,496.0,0.0,2,2.0,0,0.0,5,5.0
0.629629,2023-10-11,2023020006,1,1,1.0,3,3.0,H,0,CHI,0,1.0,1.0,1.0,2,0.0,0.0,1,21.0,33.0,Boston Bruins,6,,1,1,0,0,0.0,0,0.0,3,3.0,360.0,0,0.0,0,0,1,0,4,0,1,1.0,5,6.0,5.0,13,780,6,0,0.0,360.0,1.0,0,0.0,0,0.0,3,3.0
0.522388,2023-10-11,2023020004,1,3,3.0,5,5.0,H,0,OTT,0,1.25,1.0,1.0,2,0.0,0.166666,1,30.0,42.0,Carolina Hurricanes,12,,1,1,0,1,1.0,0,0.0,6,6.0,663.0,1,1.0,0,0,0,0,5,0,3,3.0,5,8.0,5.0,10,600,8,1,1.0,480.0,1.0,0,0.0,1,1.0,4,4.0
0.37037,2023-10-11,2023020006,1,3,3.0,1,1.0,R,1,BOS,0,1.0,1.0,0.0,0,0.0,0.0,0,33.0,21.0,Chicago Blackhawks,16,,0,0,0,0,0.0,0,0.0,3,3.0,360.0,0,0.0,0,0,1,0,4,1,-1,-1.0,6,5.0,6.0,23,1380,5,0,0.0,360.0,0.0,0,0.0,0,0.0,3,3.0
0.610389,2023-10-11,2023020007,1,3,3.0,5,5.0,H,0,WPG,0,1.25,1.0,1.0,2,0.333333,0.333333,1,37.0,22.0,Calgary Flames,20,,1,1,0,1,1.0,1,1.0,3,3.0,326.0,0,0.0,0,0,0,0,4,0,-1,-1.0,4,3.0,4.0,8,480,3,1,1.0,480.0,1.0,0,0.0,1,1.0,4,4.0
0.484375,2023-10-11,2023020008,1,2,2.0,5,5.0,R,0,LAK,0,1.0,1.0,1.0,2,0.333333,0.333333,1,36.0,37.0,Colorado Avalanche,21,,1,1,0,1,1.0,1,1.0,3,3.0,270.0,0,0.0,0,0,1,0,7,0,-2,-2.0,8,6.0,8.0,19,1140,6,0,0.0,600.0,1.0,0,0.0,0,0.0,5,5.0
0.477611,2023-10-11,2023020004,1,5,5.0,3,3.0,R,1,CAR,0,1.0,0.833334,0.0,0,-0.25,0.0,0,42.0,30.0,Ottawa Senators,9,,0,0,0,0,0.0,-1,-1.0,4,4.0,480.0,1,1.0,0,0,0,0,7,0,-2,-2.0,7,5.0,7.0,14,840,5,0,0.0,663.0,0.0,1,1.0,1,1.0,6,6.0
0.481481,2023-10-11,2023020005,1,5,5.0,5,5.0,H,0,MTL,0,0.75,0.75,1.0,2,0.5,0.5,0,24.0,42.0,Toronto Maple Leafs,10,,1,0,1,2,2.0,2,2.0,4,4.0,331.0,0,0.0,0,0,1,0,5,0,1,0.923077,6,6.46154,5.538463,15,900,7,-1,-1.0,359.0,1.0,1,1.0,0,0.0,4,4.0
0.460317,2023-10-11,2023020009,1,1,1.0,8,8.0,H,0,EDM,0,0.75,0.75,1.0,2,0.5,0.5,1,27.0,32.0,Vancouver Canucks,23,,1,1,0,3,3.0,3,3.0,6,6.0,564.0,0,0.0,0,0,1,0,4,0,2,2.0,5,7.0,5.0,13,780,7,-1,-1.0,312.0,1.0,1,1.0,0,0.0,4,4.0
0.515625,2023-10-11,2023020008,1,5,5.0,2,2.0,H,1,COL,0,0.666666,0.666667,0.0,0,0.0,0.0,0,37.0,36.0,Los Angeles Kings,26,,0,0,0,0,0.0,0,0.0,5,5.0,600.0,0,0.0,0,0,1,0,5,0,2,2.0,6,8.0,6.0,15,900,8,-1,-1.0,270.0,0.0,1,1.0,0,0.0,3,3.0
0.38961,2023-10-11,2023020007,1,5,5.0,3,3.0,R,1,CGY,0,0.666666,0.666667,0.0,0,-0.25,0.0,0,22.0,37.0,Winnipeg Jets,52,,0,0,0,0,0.0,-1,-1.0,4,4.0,480.0,1,1.0,0,0,0,0,3,0,1,1.0,3,4.0,3.0,6,360,4,-1,-1.0,326.0,0.0,1,1.0,0,0.0,3,3.0
0.518518,2023-10-11,2023020005,1,5,5.0,5,5.0,R,0,TOR,1,0.5,0.5,0.5,1,0.25,0.25,0,42.0,24.0,Montréal Canadiens,8,,0,0,0,1,1.0,1,1.0,4,4.0,359.0,0,0.0,0,0,1,0,5,1,-1,-0.923077,7,5.538463,6.46154,25,1500,6,-2,-2.0,331.0,0.5,2,2.0,0,0.0,4,4.0
0.539682,2023-10-11,2023020009,1,8,8.0,1,1.0,R,1,VAN,0,0.5,0.5,0.0,0,0.25,0.25,0,32.0,27.0,Edmonton Oilers,22,,0,0,0,1,1.0,1,1.0,4,4.0,312.0,0,0.0,0,0,1,0,6,0,-2,-2.0,7,5.0,7.0,17,1020,5,-3,-3.0,564.0,0.0,3,3.0,0,0.0,6,6.0
0.633333,2023-10-12,2023020010,1,1,1.0,5,5.0,R,0,BUF,0,1.333333,1.0,1.0,2,0.25,0.25,1,25.0,31.0,New York Rangers,3,,1,1,0,1,1.0,1,1.0,4,4.0,295.0,0,0.0,0,0,0,0,4,0,1,1.0,4,5.0,4.0,8,480,5,1,1.0,322.0,1.0,0,0.0,1,1.0,3,3.0
0.462962,2023-10-12,2023020011,1,2,2.0,4,4.0,R,0,CBJ,0,1.0,1.0,1.0,2,0.0,0.0,1,33.0,37.0,Philadelphia Flyers,4,,1,1,0,0,0.0,0,0.0,3,3.0,277.0,0,0.0,0,0,0,0,5,0,-1,-1.0,5,4.0,5.0,10,600,4,0,0.0,397.0,1.0,0,0.0,0,0.0,4,4.0
0.5625,2023-10-12,2023020015,1,0,0.0,3,3.0,H,0,SEA,0,1.5,1.0,1.0,2,0.0,0.0,1,23.0,35.0,Nashville Predators,18,,1,1,0,0,0.0,0,0.0,3,3.0,270.0,0,0.0,0,0,0,0,3,0,1,1.0,3,4.0,3.0,6,360,4,1,1.0,240.0,1.0,0,0.0,1,1.0,2,2.0
0.474576,2023-10-12,2023020013,1,1,1.0,1,1.0,R,0,DAL,1,1.0,1.0,0.5,1,0.0,0.0,0,34.0,24.0,St. Louis Blues,19,,0,0,0,0,0.0,0,0.0,3,3.0,288.0,0,0.0,0,0,0,0,4,0,-1,-0.923077,4,2.769231,3.692308,8,480,3,0,0.0,331.0,0.5,0,0.0,0,0.0,4,4.0
0.525423,2023-10-12,2023020013,1,1,1.0,1,1.0,H,0,STL,0,1.0,1.0,1.0,2,0.0,0.0,0,24.0,34.0,Dallas Stars,25,,1,0,1,0,0.0,0,0.0,4,4.0,331.0,0,0.0,0,0,0,0,3,0,1,0.923077,3,3.692308,2.769231,6,360,4,0,0.0,288.0,1.0,0,0.0,0,0.0,3,3.0
0.553571,2023-10-12,2023020016,1,4,4.0,1,1.0,H,1,VGK,0,1.0,1.0,0.0,0,0.0,0.0,0,32.0,23.0,San Jose Sharks,28,,0,0,0,0,0.0,0,0.0,2,2.0,240.0,0,0.0,0,0,1,0,1,0,1,1.0,2,3.0,2.0,7,420,3,0,0.0,120.0,0.0,0,0.0,0,0.0,1,1.0
0.537037,2023-10-12,2023020011,1,4,4.0,2,2.0,H,1,PHI,0,1.0,1.0,0.0,0,0.0,0.0,0,37.0,33.0,Columbus Blue Jackets,29,,0,0,0,0,0.0,0,0.0,4,4.0,397.0,0,0.0,0,0,0,0,4,0,1,1.0,4,5.0,4.0,8,480,5,0,0.0,277.0,0.0,0,0.0,0,0.0,3,3.0
0.403225,2023-10-12,2023020014,1,0,0.0,2,2.0,H,0,FLA,0,1.0,1.0,1.0,2,0.25,0.25,1,41.0,21.0,Minnesota Wild,30,,1,1,0,1,1.0,1,1.0,4,4.0,359.0,0,0.0,0,0,0,0,5,0,1,1.0,5,6.0,5.0,10,600,6,0,0.0,351.0,1.0,0,0.0,0,0.0,3,3.0
0.446428,2023-10-12,2023020016,1,1,1.0,4,4.0,R,0,SJS,0,1.0,1.0,1.0,2,0.0,0.0,1,23.0,32.0,Vegas Golden Knights,54,,1,1,0,0,0.0,0,0.0,1,1.0,120.0,0,0.0,0,0,1,0,2,0,-1,-1.0,3,2.0,3.0,9,540,2,0,0.0,240.0,1.0,0,0.0,0,0.0,2,2.0
0.4375,2023-10-12,2023020015,1,3,3.0,0,0.0,R,1,NSH,0,1.0,1.0,0.0,0,-0.5,0.0,0,35.0,23.0,Seattle Kraken,55,,0,0,0,0,0.0,-1,-1.0,2,2.0,240.0,1,1.0,0,0,0,0,4,0,-1,-1.0,4,3.0,4.0,8,480,3,0,0.0,270.0,0.0,0,0.0,0,0.0,3,3.0
0.576271,2023-10-12,2023020012,1,4,4.0,3,3.0,R,1,NJD,0,0.833333,0.833334,0.0,0,0.5,0.5,0,27.0,35.0,Detroit Red Wings,17,,0,0,0,2,2.0,2,2.0,4,4.0,220.0,0,0.0,0,0,0,0,6,0,-2,-2.0,6,4.0,6.0,12,720,4,-1,-1.0,449.0,0.0,1,1.0,0,0.0,6,6.0
0.366666,2023-10-12,2023020010,1,5,5.0,1,1.0,H,1,NYR,0,0.75,0.75,0.0,0,-0.333333,0.0,0,31.0,25.0,Buffalo Sabres,7,,0,0,0,0,0.0,-1,-1.0,3,3.0,322.0,1,1.0,0,0,0,0,5,0,-1,-1.0,5,4.0,5.0,10,600,4,-1,-1.0,295.0,0.0,1,1.0,0,0.0,4,4.0
