,skaterFullName,ppPoints,teamAbbrevs,gamesPlayed,shoots,position,ppUnit,vs,avgPowerplayToi,row,date,team_G,team_GA,team_PP%,PPGF,PPG/PG,PPO/PG,PPTOI/PG,PEN,PENMin,team_PEN/GP,PENSeconds/PG,PENDrawn/GP,PPGA,team_PK%,PKTIO/PG,enemy_G,enemy_GA,enemy_PP%,PPGF_enemy,PPG/PG_enemy,PPO/PG_enemy,PPTOI/PG_enemy,PEN_enemy,PENMin_enemy,enemy_PEN/GP,PENSeconds/PG_enemy,PENDrawn/GP_enemy,PPGA_enemy,enemy_PK%,PKTIO/PG_enemy,scored,will_score
0,Cam Fowler,7,ANA,30,L,1,2,DET,137,0,2023-12-18,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,0,No
1,Alex Killorn,5,ANA,20,L,2,1,DET,126,1,2023-12-18,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,0,No
2,Pavel Mintyukov,6,ANA,30,L,1,1,DET,125,2,2023-12-18,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,0,No
3,Ryan Strome,4,ANA,29,R,3,2,DET,114,3,2023-12-18,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,0,No
4,Troy Terry,7,ANA,30,R,2,1,DET,147,4,2023-12-18,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,0,No
5,Frank Vatrano,8,ANA,30,L,2,2,DET,136,5,2023-12-18,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,0,No
6,Alex DeBrincat,9,DET,30,R,2,1,ANA,249,6,2023-12-18,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,0,No
7,Shayne Gostisbehere,11,DET,29,L,1,1,ANA,250,7,2023-12-18,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,0,No
8,Patrick Kane,2,DET,6,L,2,1,ANA,258,8,2023-12-18,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,0,No
9,Lucas Raymond,6,DET,30,R,2,2,ANA,269,9,2023-12-18,107,95,0.21774,27,0.9,4.13333,378.266666,137,323,4.523733,646,4.986012,24,0.78761,343.133333,79,102,0.21875,21,0.7,3.2,309.4,171,435,5.659388,870,4.36865,26,0.80597,429.8,0,No
